orderNumber,orderStatus,missedLpns
"	6180914411117278","INCOMPLETE","00100854129315998618|00100854129315998625"
"	6177736010899511","INCOMPLETE","00100854129315816240"
"	6177735910894668","INCOMPLETE","00100854129315816622"
"	6179138811110711","INCOMPLETE","00100854129313620627|00100854129313620634|00100854129313620672|00100854129313620689|00100854129313620702"
"	6180419111120345","COMPLETED",""
"	6160621810770728","COMPLETED",""
"	6159917710923489","COMPLETED",""
"	6159917810923491","COMPLETED",""
"	6173592011070160","COMPLETED",""
"	6180397611120262","COMPLETED",""
"	6180717411123214","COMPLETED",""
"	6180417511120340","COMPLETED",""
"	6180858611123927","COMPLETED",""
"	6177736711004605","COMPLETED",""
"	6177735710858306","COMPLETED",""
"	6178779411108795","COMPLETED",""
"	6177736510979726","COMPLETED",""